Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market buy,2023-09-05 13:54:59,US9078181081,UNP,Union Pacific,,EOF3270973223,0.1482916000,216.7000000000,USD,1.07294790,,,29.99,EUR,,,0.04,EUR,,
Market buy,2023-09-05 13:56:53,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3270974354,0.0392728000,761.6000000000,EUR,1.00000000,,,30.00,EUR,,,,,0.09,EUR
Market buy,2023-09-05 14:00:20,US9256521090,VICI,VICI Properties,,EOF3270976229,3.4315500000,31.2200000000,USD,1.07293931,,,100.00,EUR,,,0.15,EUR,,
Interest on cash,2023-09-05 21:08:24,,,,Interest on cash,39d5b5f0-ee36-441d-abca-2ea8060853f2,,,,,,,0.04,EUR,,,,,,
Market buy,2023-09-06 07:22:50,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3271440558,0.0398590000,750.4000000000,EUR,1.00000000,,,30.00,EUR,,,,,0.09,EUR
Limit buy,2023-09-06 07:59:00,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3271443238,0.0500000000,745.5000000000,EUR,1.00000000,,,37.39,EUR,,,,,0.11,EUR
Limit buy,2023-09-06 11:58:17,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3272403892,0.0500000000,740.5000000000,EUR,1.00000000,,,37.14,EUR,,,,,0.11,EUR
Market buy,2023-09-06 15:00:00,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3272449159,0.0549542000,725.7000000000,EUR,1.00000000,,,40.00,EUR,,,,,0.12,EUR
Market buy,2023-09-06 15:23:13,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3273503070,0.0543846000,733.3000000000,EUR,1.00000000,,,40.00,EUR,,,,,0.12,EUR
Interest on cash,2023-09-06 21:09:07,,,,Interest on cash,d37f8d88-dba1-45b6-af75-d6f9431ddbd5,,,,,,,0.03,EUR,,,,,,
Limit buy,2023-09-07 12:32:21,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3274851913,0.0500000000,724.4000000000,EUR,1.00000000,,,36.33,EUR,,,,,0.11,EUR
Market buy,2023-09-07 13:52:57,US0378331005,AAPL,Apple,,EOF3274881622,0.2414346000,176.9100000000,USD,1.06940899,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-07 17:11:00,US0378331005,AAPL,Apple,,EOF3275762495,0.2422801000,176.5200000000,USD,1.07078826,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-07 17:11:23,US5184391044,EL,Estee Lauder,,EOF3275762532,0.1380032000,154.9500000000,USD,1.07078597,,,20.00,EUR,,,0.03,EUR,,
Market buy,2023-09-07 17:11:42,US9078181081,UNP,Union Pacific,,EOF3275762587,0.2019421000,211.7800000000,USD,1.07078863,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-07 19:10:11,US9078181081,UNP,Union Pacific,,EOF3275773038,0.2029017000,210.5600000000,USD,1.06967906,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-07 19:10:38,US0378331005,AAPL,Apple,,EOF3275773053,0.1206955000,176.9900000000,USD,1.06969937,,,20.00,EUR,,,0.03,EUR,,
Interest on cash,2023-09-07 21:08:20,,,,Interest on cash,d5b99f83-13fe-4dc7-8105-ce93041af082,,,,,,,0.02,EUR,,,,,,
Market buy,2023-09-08 09:17:13,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3275793762,0.1375373000,724.9000000000,EUR,1.00000000,,,100.00,EUR,,,,,0.30,EUR
Dividend (Dividends paid by us corporations),2023-09-08 13:24:50,US22160K1051,COST,Costco Wholesale,,,0.1983596000,0.867000,USD,0.93035300,,,0.16,EUR,0.03,USD,,,,
Interest on cash,2023-09-08 21:09:53,,,,Interest on cash,357409fe-68ff-41e9-b342-b846a2ccb69a,,,,,,,0.02,EUR,,,,,,
Interest on cash,2023-09-09 21:09:03,,,,Interest on cash,0b0aba90-2a37-4f71-9a57-572073a9e4f4,,,,,,,0.01,EUR,,,,,,
Interest on cash,2023-09-10 21:09:32,,,,Interest on cash,5c9ee0a0-cf5e-46a1-96e2-c14ba20f6322,,,,,,,0.02,EUR,,,,,,
Deposit,2023-09-11 07:15:18,,,,Bank Transfer,34221271-5fd6-4f04-a3d8-80ceaf25606c,,,,,,,1000.00,EUR,,,,,,
Market buy,2023-09-11 18:09:18,US5184391044,EL,Estee Lauder,,EOF3280993238,0.2096554000,153.5200000000,USD,1.07466767,,,29.99,EUR,,,0.04,EUR,,
Market buy,2023-09-11 18:09:24,US8826811098,TXRH,Texas Roadhouse,,EOF3280993263,0.3211184000,100.2300000000,USD,1.07464765,,,29.99,EUR,,,0.04,EUR,,
Market buy,2023-09-11 18:09:54,US0378331005,AAPL,Apple,,EOF3280993295,0.2995895000,179.0700000000,USD,1.07466930,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-11 18:10:40,US9078181081,UNP,Union Pacific,,EOF3280993317,0.1525964000,210.9400000000,USD,1.07474739,,,29.99,EUR,,,0.04,EUR,,
Market buy,2023-09-11 18:11:07,US9256521090,VICI,VICI Properties,,EOF3280993336,1.7157490000,31.2700000000,USD,1.07474902,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-11 18:12:05,US98978V1035,ZTS,Zoetis,,EOF3280993408,0.1274403000,186.2600000000,USD,1.07504666,,,22.11,EUR,,,0.03,EUR,,
Market buy,2023-09-11 18:12:06,US98978V1035,ZTS,Zoetis,,EOF3280993411,0.1030516000,186.2800000000,USD,1.07482934,,,17.89,EUR,,,0.03,EUR,,
Interest on cash,2023-09-11 21:09:39,,,,Interest on cash,df6e11d7-b3ea-4bf8-ac4e-9c13079c8447,,,,,,,0.05,EUR,,,,,,
Limit buy,2023-09-12 07:25:28,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3281817452,0.0700000000,741.3000000000,EUR,1.00000000,,,52.05,EUR,,,,,0.16,EUR
Dividend (Dividends paid by us corporations),2023-09-12 10:26:16,US78409V1044,SPGI,S&P Global,,,0.5919531000,0.765000,USD,0.92747100,,,0.42,EUR,0.08,USD,,,,
Market buy,2023-09-12 18:16:56,US98978V1035,ZTS,Zoetis,,EOF3284117829,0.2837656000,188.7300000000,USD,1.07281814,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-12 18:17:03,US92826C8394,V,Visa,,EOF3284117842,0.2163492000,247.5400000000,USD,1.07281812,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-12 18:17:16,US0378331005,AAPL,Apple,,EOF3284117857,0.3037380000,176.3200000000,USD,1.07281819,,,49.99,EUR,,,0.07,EUR,,
Interest on cash,2023-09-12 21:09:38,,,,Interest on cash,01cfc515-4325-487c-9766-84d2d06f221e,,,,,,,0.04,EUR,,,,,,
Market buy,2023-09-13 17:02:50,US0378331005,AAPL,Apple,,EOF3286928690,0.2442148000,175.6400000000,USD,1.07395812,,,40.00,EUR,,,0.06,EUR,,
